X,Y,OBJECTID,ID,LOCATION,STATUS,TYPE,INSTALLED,WKDY_PED,WKDY_BIKE,WKND_PED,WKND_BIKE,TOTAL_WKDY,TOTAL_WKND,LONG,LAT
-80.50662153799999,43.462444635000054,1,10,Spurline Trail South of Roger St.,Installed,Multi,2016-04-27T00:00:00.000Z,276,444,188,290,720,478,-80.50662153782514,43.46244463526063
-80.545904203999953,43.487974854000072,2,7,Albert McCormick Community Centre,Installed,Multi,2015-04-29T00:00:00.000Z,202,247,150,118,450,268,-80.54590420430782,43.48797485425032
-80.54333659699995,43.476020375000076,3,6,Laurel/Trans Canada Trail at Columbia St. W.,Installed,Multi,2015-04-01T00:00:00.000Z,333,234,219,124,567,343,-80.54333659712978,43.47602037539322
-80.530347579999955,43.465847722000035,4,1,Trans Canada/Laurel Trail at Silver Lake Bridge,Installed,Multi,2014-08-26T00:00:00.000Z,686,387,689,224,1072,913,-80.53034758017266,43.4658477221768
-80.518255169999975,43.497546327000066,5,8,Davenport Road - Southbound,Installed,Cyclists,2016-05-24T00:00:00.000Z,0,55,0,40,55,40,-80.51825517038117,43.4975463272866
-80.518283725999936,43.497659373000033,6,11,Davenport Road - Northbound,Installed,Cyclists,2016-05-24T00:00:00.000Z,0,9,0,5,8,5,-80.51828372581885,43.49765937305924
-80.519000012999982,43.465536737000036,7,5,Laurel Trail at Erb St. E. and Peppler St.,Installed,Multi,2015-07-17T00:00:00.000Z,175,87,158,76,262,234,-80.51900001263712,43.465536737476846
-80.51949861899999,43.457463283000038,8,2,Iron Horse Trail at John St. W.,Installed,Multi,2015-07-17T00:00:00.000Z,535,265,467,223,800,690,-80.51949861935408,43.457463282579845
-80.514682850999975,43.471790807000048,9,3,Laurel Trail at Weber St. N.,Installed,Multi,2015-04-28T00:00:00.000Z,195,94,187,83,289,270,-80.51468285068118,43.47179080664395
-80.514722996999978,43.48026823500004,10,4,Laurel Trail at University Ave. W.,Installed,Multi,2015-07-22T00:00:00.000Z,69,90,65,77,159,142,-80.51472299673878,43.48026823521745
-80.522211524999989,43.465115747000027,11,13,Uptown Waterloo Cycle Track Display,Installed,Cyclists,2018-08-13T00:00:00.000Z,,,,,,,-80.52221152529243,43.465115746721494
-80.493648735999955,43.516481102000057,12,12,Walter Bean Trail,Installed,Multi,2017-06-02T00:00:00.000Z,,,,,,,-80.49364873598493,43.516481102181466
-80.564343304999966,43.484240071000045,13,9,Laurel/Trans Canada Trail at Bearinger Rd,Inactive,Multi,2015-04-29T00:00:00.000Z,50,44,50,54,94,104,-80.56434330455481,43.48424007083467
